Corbett, Greville G.. 2011. Sex-based and Non-sex-based Gender Systems.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 31A.
Available online at http://wals.info/feature/31A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aco	Acoma	1	No gender	34.917	-107.583	Keresan	Keresan	Nominal Categories
ain	Ainu	1	No gender	43.000	143.000	Ainu	Ainu	Nominal Categories
ale	Aleut	1	No gender	54.000	-166.000	Aleut	Eskimo-Aleut	Nominal Categories
ame	Amele	1	No gender	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
abn	Arabana	1	No gender	-28.250	136.250	Pama-Nyungan	Australian	Nominal Categories
arm	Armenian (Eastern)	1	No gender	40.000	45.000	Armenian	Indo-European	Nominal Categories
asm	Asmat	1	No gender	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
awp	Awa Pit	1	No gender	1.500	-78.250	Barbacoan	Barbacoan	Nominal Categories
bag	Bagirmi	1	No gender	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
bsq	Basque	1	No gender	43.000	-3.000	Basque	Basque	Nominal Categories
baw	Bawm	1	No gender	22.500	92.250	Kuki-Chin	Sino-Tibetan	Nominal Categories
brh	Brahui	1	No gender	28.500	67.000	Northern Dravidian	Dravidian	Nominal Categories
brm	Burmese	1	No gender	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Categories
cah	Cahuilla	1	No gender	33.500	-116.250	Takic	Uto-Aztecan	Nominal Categories
khm	Khmer	1	No gender	12.500	105.000	Khmer	Austro-Asiatic	Nominal Categories
ckr	Canela-Krahô	1	No gender	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Categories
cnt	Cantonese	1	No gender	23.000	113.000	Chinese	Sino-Tibetan	Nominal Categories
car	Carib	1	No gender	5.500	-56.000	Cariban	Cariban	Nominal Categories
cyv	Cayuvava	1	No gender	-13.500	-65.500	Cayuvava	Cayuvava	Nominal Categories
pmc	Pomo (Central)	1	No gender	39.000	-123.333	Pomoan	Hokan	Nominal Categories
khl	Khalaj	1	No gender	35.000	50.000	Turkic	Altaic	Nominal Categories
cha	Chamorro	1	No gender	13.450	144.750	Chamorro	Austronesian	Nominal Categories
chi	Chimariko	1	No gender	41.000	-123.000	Chimariko	Hokan	Nominal Categories
chk	Chukchi	1	No gender	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
chv	Chuvash	1	No gender	55.500	47.500	Turkic	Altaic	Nominal Categories
tsi	Tsimshian (Coast)	1	No gender	52.500	-129.000	Tsimshianic	Penutian	Nominal Categories
cmn	Comanche	1	No gender	33.500	-101.500	Numic	Uto-Aztecan	Nominal Categories
zqc	Zoque (Copainalá)	1	No gender	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Nominal Categories
dag	Daga	1	No gender	-10.000	149.333	Dagan	Dagan	Nominal Categories
djr	Djaru	1	No gender	-18.750	128.000	Pama-Nyungan	Australian	Nominal Categories
